Title,Rating,Review
ike hires anybody,Rated 1 out of 5 stars,ike hires anybody ex baby momma works stay giving stuff away sells weed job like wth fr high unprofessional sad like y all can t find nobody else work y all always facebook selling stolen shoes nike half price like sus stop stealing dat stuff cool name markeyda lightskin chrysler
bought daughter nike air force,Rated 1 out of 5 stars,bought daughter nike air force last september go back school absolute garbage pay another trainers back inside worn away plastic shoe making feet bleed don t buy disgusted nike made complaint told schuh isn t one authorised outlets nothing it s product helpful
bought new nike sport shoes dec,Rated 1 out of 5 stars,bought new nike sport shoes dec till still painful wearing painful experience
would like appreciate nike,Rated 5 out of 5 stars,would like appreciate nike air pair shoes purchased retail outlet appreciate andb star rating found grey color nike shoe high ankle show l good quality star rating thank
ike scammers,Rated 1 out of 5 stars,ike scammers inform clients items shipped overseas takes weeks come shipping time provided either transparency kind snare take money moment onwards zero support knew would never purchase first place upon request refund refused australian consumer law joke cant force refund nothing left except bitterness good lesson buy nothing cnts
member long time,Rated 1 out of 5 stars,member long time every time try purchase sneaker says didn t win confirmed wins nike cancel orders without initiating seems like invest bots order get sneaker nike doesn t care long sell product it s bad repeatedly tell child hopes let
ordered mahomes shirt paid,Rated 1 out of 5 stars,ordered mahomes shirt paid fast shipping should th still got shirt tracking number called every day far it s ole crap hear never ever order nike comi ll go fanatics order stuff atleast get merchandise order fanatics i want shirt
worst quality,Rated 1 out of 5 stars,ordered kid trainees gbp arrived disaster glue around sole threads stick looks like cheap replica street market somewhere asia backs
absolutely awful app website,Rated 1 out of 5 stars,absolutely awful app website tried enter dozens sneaker drop draws never ever accepts payments frustrating lousey payment methods perfectly fine account purchasing normally nike never works sneaker drops awful awful service
sht would polite,Rated 1 out of 5 stars,sht would polite website slow never updated right stock numbers i ve tried order various things never make actual purchase go whole process wondering hasn t gone call tell item stock my time way valuable decided shop nike anymore service beyond inadequate favour buy stuff elsewhere risk wasting bunch time
jordan craft y,Rated 3 out of 5 stars,another week another drop jordan craft weekend i ve paying close attention nike snkrs app it s got point predictability part jordan loaded unloaded uploaded pattern happens you ll get ea terrible shoe occasion acg mock guess guys n gals you took n l you ve ea ain t getting w fact i ve happen multiple times every time way treat guys buy shoes even bricks still buy cheers nike snkrs
jordan craft se scam,Rated 1 out of 5 stars,today entered draw pair jordan craft se shortly got told tried take money got declined verification purposes called nike nothing company one well known companies world still value people would make money without customers isn t okay get customers excited think they ve later realising got played nike need stop bs ain t first time happened ain t gonna happen gonna problems
hmmm,Rated 1 out of 5 stars,hmmm i m member great chopper nike student always call student discount get products today phoned student discount representative given discount december january can t give student discount cause spending much imagine supposed happy shopping happy seen kind
extremely slow shipping,Rated 1 out of 5 stars,would think nike would get good customer service shipping charge label ship even created days later time age services give customers
refund issue,Rated 1 out of 5 stars,helloi returned product months still received refund even repeated reminders expect company like nike details given writing u guys last months one bothered solve issue brilliant customer service order g th oct
ike socks,Rated 1 out of 5 stars,ike please stop making shoes china stinks like sheat don t even start talking quality shoes prefer pay money nike made usa like used
worst online customer svc ever,Rated 1 out of 5 stars,worst online customer svc ever never buy nike shoe online sure uninstall nike app phone worse phone agent country spend shoe online boutique wanted exchange appropriate size sudden cant exchange address showing po box according representative yet nike problem taking money shipping shoe first place ask make new purchase return one lot money u cannot ask people recession ever casually fix system provide exchange needed attempts mind first agent hang second agent andrew rude i ended printing return label app sent shoe back never buy shoe nike online zero stars
shocking customer service,Rated 1 out of 5 stars,shocking customer service cannot believe lies fob offs calls hung huge company totally shocked read many poor reviews get away treating customers poorly awful deal lies refunds calls back i ve called weekly weeks something needs done
stop using ups swede,Rated 1 out of 5 stars,stop using ups sweden never try deliver parcel home everytime claim wasn t home delivered pick up point instead since introduction home office i ve seen lie together useless support nike customer servers sets grade
ike care scams,Rated 1 out of 5 stars,ike care helping scam told luck even though card canceled immediately purchase said purchase made track person supposedly bought something also unable reissue new card think twice giving business
advertised pictures deceiving,Rated 2 out of 5 stars,ordered expensive custom design boot falsely advertise pictures black shoe lace boot delivered navy raised give speech call centers total run around instead fixing replacing use blaming computers quality picture excuse careful order check get understand descriptions rather thinking pictures advertise get
ike great,Rated 5 out of 5 stars,love shopping nike always sales you re member get free shipping orders get within three days always buy sneaker want sellers
placed big order,Rated 1 out of 5 stars,placed big order rd jan got text saying order delivered informed via link deliver parcel next day one home day night got text saying delivered left front door step returned home parcel wasn t live london isn t clever thing leave parcel unattended outside nike escalated order rejected refund saying dpd told delivered correctly contacted dpd emailed saying they ve admitted liability refunded nike costs delivery nike big company lied take money dpd showed evidence didn t refund agents phone assistants chat literally say sorry seniors denied refund that s one assistant called elena understood finally refunded joke chance i m ordering online
quick take money never deliver,Rated 1 out of 5 stars,yet another parcel nike delivered yet signed made name company lies customer service team terrible i m left order money
beware evri hermes,Rated 1 out of 5 stars,miserable time actually trying receive order nike decided making quick buck important good customer experience please nike stop using evri use proper delivery service
package undelivered,Rated 1 out of 5 stars,received email saying order delivered receive it when checking delivery image dpd sent shows image package drivers hand street went nike com get update information package unable find email address rectify issue i d grateful someone would respond update whereabouts package asap
scammers ripped bro,Rated 1 out of 5 stars,scammers ripped brother earlier bought stuff online nike nike won t stop order everyone else ordered stuff said problem cancelled orders nike however said calls hrs stress that s policy refused anything screw nike
return shoes lady,Rated 1 out of 5 stars,return shoes lady checked states returned shoes asked want write review said okay said let scan phone gave phone scanned started review without notification gave phone unfair uncritical
placed order waiting,Rated 1 out of 5 stars,placed order waiting receive two days want order find account blockedcommunication support service solve anything say account blocked security reasons what security registered customer want make pay order can tthis worst service ever
ike claim poor service,Rated 1 out of 5 stars,returned faulty shoes november told th january inspected egift card would issued within days days later customer service keep fobbing can t make complaint can t email anyone online chat people keep ending chat poor service
legal,Rated 1 out of 5 stars,sure illegally operate website website hiccups no cancellation remark minutes cancellation window unless try search clear merchandise standards chat phonecalls help
ike check emails,Rated 2 out of 5 stars,ike check emails sent survey regarding jordan bought decided answer survey emailed sizing problem given reply back ever since terrible expirience
terrible service zero empathy give,Rated 1 out of 5 stars,exactly experience many others product ordered arrived lost transit reached proactive approach nike went back tried refund wanted promised new item would sent received confirmation delivery still item still proactive measures nike reach happy refund absolute minimum company could without literally stealing money months won t buying app deleted bring disrupters
husband got gift card christmas,Rated 1 out of 5 stars,husband got gift card christmas ordered shoes online used gift card checking said gift card finished checking never took gift card called customer service spoke christopher said would put back account lied never put back poor customer service never order thank nothing christopher nike
used app,Rated 1 out of 5 stars,used app awful service take forever ship items order app got one item day ordered second part item hasn t even shipped two weeks later contacted said oh well can t cancel even though haven t even bothered send refuse order comes worst app ever
returned trainers nike,Rated 1 out of 5 stars,returned trainers nike received empty box sent proof return royal mail reference number cs nike rubbish can t actually anything still refusing refund even though it s prepaid postage label nike royal mail scammers managers never call back one tries help never order nike againday call back apparently tried call back one tell time becoming beyond ridiculous point trainers cost sale nike still refusing give refund provided prof return via receipt royal mail even called royal mail provided reference number cs agent nike they re still refusing anything managers never call back i m surprised even managers honestly worst customer service ever received ever manage get sorted deleting nike account never shopping use nike website conmen take money return items customer service team worst worst everything power help
customer service,Rated 1 out of 5 stars,already submitted review nike would like mention used chat service times always say sorry unable access app membership site look never always put high top trainers membership site unfair especially difficult get air force jordan high tops anywhere else sites dodgy going lose sales don t sort out if wanted low trainers would bought low trainers don t
peeling front back,Rated 2 out of 5 stars,metcon super new peeling front back shoe gets years expensive nike shoes said something shoes years old
ike bit hit miss,Rated 2 out of 5 stars,ike bit hit miss service includes snkrs app nike app many times i ve raffles draws items lost transit lost they ve even left warehouse nike doesn t seem care infact even use evri deliver items possibly worst company terms delivering personally going forward i ll try give secondary retailers chance
i could take zero stars would,Rated 1 out of 5 stars,could rate zero stars would years ordering online worst company i ve ever displeasure deal wish read reviews beforehand they re disgraceful ordered football th december paid dispatched week later received email say dpd tracked kept says there s exception parcel today weeks later saying parcel way back sender nike refund close play week i m going file claim small claims court robbing thieving company order
two months placing order delivery,Rated 1 out of 5 stars,two months placing order queried shipment purchases notified products available advised purchased amount refunded days products available made wait two months acceptable solutio
bought hoodie nike store,Rated 4 out of 5 stars,bought hoodie nike store london last year it s great excellent design nice fabric store helped choose hoodie size year use i m happy everything honestly it s little expensive aspects say nike hoodies excellent buy
ordered trainers ordered today still received,Rated 1 out of 5 stars,made order continually states awaiting courier collection date rang customer services may well speak wall customer service diabolical claim orders dispatched even still shows waiting courier collection could make sent several emails replies email sent via customer service able reply make complaint received acknowledgment big companies let alone reply thinking email address no one reads follows avoid ordering via nike use options place orders
ordered shows arrive,Rated 1 out of 5 stars,ordered shows arrive weeks offered refund discount could repurchase shoes discounted rate discount valid shoes originally purchased obtain compensation nikes error buy shoes want
rediculous service,Rated 1 out of 5 stars,ridiculous customer service customer service team can t issue refund i ve called x times dec rd dec th jan keep escalating nobody ever called back higher management order still arrived totally missed christmas son it s weeks ridiculous i m telling everyone never shop nike com switching armor
another person wished read,Rated 1 out of 5 stars,another person wished read reviews purchasing evri courier need say apparently couldn t deliver parcel bad weather despite sunshine i ve waiting since tuesday hope ever receiving trying get refund also minefield shall see ever goes back bank account awful service disappointed never purchase nike online
order never delivered,Rated 1 out of 5 stars,placed order waited delivery notified refund would issued order called customer care team could explain happened could reissue order even though tracking shows items ready delivery i never dealt customer care team incompetent never order nike
idea selected buy,Rated 1 out of 5 stars,idea selected buy shoes namely dunks working sharks buy triple cost get grip make shoe advertise sell usual right price first come first served
af came terrible shape,Rated 1 out of 5 stars,ordered pair af nike came terrible shape unremovable glue shoes black stains especially around soles dirty laces paid swiss francs btw don t like open package make sure camera filming open examin shoes give back without issues
rubbish service,Rated 1 out of 5 stars,ordered trainers xmas sales site stated week later carrier hadn t collected contacted said delivery attempted twice one home even though i ve work home safe place neighbours said cards left got said refund none available carrier returning original ones i m disgusted rubbish service won t use
awful chat service,Rated 1 out of 5 stars,awful ordered trial shoes months later started falling apart messaged nike it s pm matter still isn t resolved want return items require find way print label even others seems send shoes back get nothing back return risking paid fortune trainers nothing moreso don t use email often printer they re telling tuff basically can t print return bad goods warranty doesn t apply mariana useless repeated thing chat despite msgs ignored chat awful hours different people still nothing steer clear
chinese order instead shoes,Rated 1 out of 5 stars,shoes arrived house box nike opened box big plastic container full boiled rice prawn crackers got sort give shoes rubish
rubbish service,Rated 1 out of 5 stars,rubbish service products expensive really rubbish nike writing peeling pull tab back air max strange hard lub back heel made uncomfortable contacting nike send back refund no replacement wanted
ordered trainers,Rated 1 out of 5 stars,ordered trainers holiday ireland weeks ago ordered line come address uk really nice trainers however wish could say delivery shocking charged trainers ordered th december told delivery would th january waited day sign trainers last night recieved refund money real shame company going place many orders
incompetence service agents,Rated 1 out of 5 stars,incompetence service agents spoke almost unbelievable trying return gift given nigh impossible due lack understanding wouldn t personal details person sending said gift would happy send trainers back simply recieved gift card order number email presented along mobile number still couldn t help
absolutely shocking,Rated 1 out of 5 stars,absolutely shocking ordered pair trainers time christmas never received nike kept changing delivery day every day didn t get contact would allowed continue nike experts app much use chocolate teapot glitchy system told complaints dept manager supposed call back occasions never received call rang nike number google search finally got full refund disgusting customer service experience never purchase anything nike
order site,Rated 1 out of 5 stars,order site shoes cheap looking cheap plastic glue everywhere shoes thrown box second pair received liked horrible quality
excited finally draw,Rated 1 out of 5 stars,excited finally draw snkrs app getting draws find later day order cancelled shoes website sale general public hours selling waste time can t believe nike lack answers followed brushed twice so disappointing
worst expirence years,Rated 1 out of 5 stars,worst expirence years ordered christmas days later get email saying order ha delayed nothing everytime contacted said i d get shoes bit could never give tracking information i ve asked refund order still showing delayed told need wait days email start refund scam never shop nike ever
buy online nike,Rated 1 out of 5 stars,buy online nike ordered shoes one arrived decent time second yet come month clue second pair fedex says shipped us address agents speak broken english sure know going called times never again still shoes
would rate company zero,Rated 1 out of 5 stars,would rate company zero could purchased nike tech fleece jacket jd instead going jd went nike big mistake mine opened dispute october however nike said spoke jd admitted phone faulty batch sent jd requested send jacket back exchange e giftcard it s nearly months refund e giftcard nike customer service fobbing stole jacket us won t even return back us extremely poor customer service worst company considering it s big would expect better service open disputes nike steal item won t compensate refund idea contact someone complain either frustrating poor
wish i d read reviews lot,Rated 1 out of 5 stars,wish i d read reviews lot earlier like many others ordered nike gift cards children christmas placed order via nike app th december gift cards euros we re still waiting update app apart preparing shipment nike unable cancel order give money back i m astounded company like nike adequate infrastructure technology platform place offer least minimum acceptable service
could give zero starts would,Rated 1 out of 5 stars,could give zero starts would tried order pair jogging bottoms tonight using nike online twice took payment account didn t complete order two payments pending order couldn t complete avoid costs
awful company,Rated 1 out of 5 stars,awful company ordered expensive trainers christmas present turns sent far cheaper pair phoned customer services great wait see proper trainers back line store contact organise replacement returns told would need join line club qualify free returns happening mistake saga continues onus customer poor
total conme,Rated 1 out of 5 stars,total conmen told order sent reality courier even collected rang days ago given bums rush made complaint promised manager call back like order never arrived
pllleeease stop using evri send,Rated 5 out of 5 stars,pllleeease stop using evri send parcels buy nike lot trainer business always used dpd you re using evri parcels get dumped doorstep gone missing got lost transit even next day delivery never deliver time gonna start using elsewhere products rate please least give us option evri deliver
ike stand behind,Rated 1 out of 5 stars,ike stand behind products especially products cheap customer service poor personally would shop nike customer service outrageous
awful ordered four weeks ago item,Rated 1 out of 5 stars,awful ordered four weeks ago item still hasn t turned told replacement would sent still sent evening speaking chat told it s gone tool investigated really refund absolutely appalling customer service hand heart say never ordering second time happened
would zero stars could,Rated 1 out of 5 stars,would zero stars could ordered gift voucher online almost two weeks ago christmas present meant delivered th still sign ring rude customer service hasn t sent quote plastic deficiency within company hadn t notified delay offered alternative wait plastic cards ridiculous supposedly one biggest companies world
could give company minus,Rated 1 out of 5 stars,could give company minus would looking reviews wish checked website first placing order wanted voucher delivered time xmas hold decent conversation anyone company resorted sending message twitter next step raise issue trading standards company incompetent carry basic customer service list long complaints won t include order anything company one worse companies ever dealt
best brand,Rated 5 out of 5 stars,trust company kind styles snickers many sports favorite brand shoes special retro styles
ike likes claim,Rated 1 out of 5 stars,ike likes claim environmentally conscious shipment recently order travelled netherlands germany onto belgium france usa finally arriving canada obviously environmentally friendly disappointing last order nike unless improve processes
frustrated father ma,Rated 3 out of 5 stars,father man familiar regular size sm l etc feeling frustrated came home wife told also tall etc ridiculous company thinks serves purpose introducing custom sizes never nike
impossible get touch,Rated 1 out of 5 stars,impossible get touch customer support case broken shoes used months fix still nothing info shoes nothing useless customer service
ordererd hoody nephews christmas,Rated 1 out of 5 stars,ordererd hoody nephews christmas ordered two weeks status kept saying awaiting pick spoke customer services apparently lost transit asked replacement item sold recevied full refund days find alternative present
order arrived incorrect,Rated 1 out of 5 stars,order arrived incorrect size correct size box month later days christmas still haven t got replacement contacted via online chat phone times order correct find nike good issues difficult resolve common good
limited stock poor website,Rated 1 out of 5 stars,website v poor logged member queue new release placed order excepted told couldn t verify credit card even though card stored member details shoes sold agree previous comments money making limited stock fuelling re sale market v disappointing
got sent wrong pair shoes,Rated 1 out of 5 stars,got sent wrong pair shoes sent back via app drop menu gives instructions return nothing taking pictures wrong item weeks later refuse refund proof wrong shoe even though said wrong item sent back  also said cannot find sent back warehouse that s refund shoe checked faq process taking picture seem like it s website app eithe want correct shoe refund awful long standing nike customer
like nike app plz fix snkrs app,Rated 1 out of 5 stars,like nike app fkn snkrs app bad i would participated raffle right time travis s didn t even get opportunity participate raffle kept saying many trying pay card know there s small chance i ll get shoes certainly won t get love nike app hate snkrs app
horrible customer service,Rated 1 out of 5 stars,horrible customer service ordered pair shorts two weeks ago never shipped called told wait expected ship date order resolve issue waited called told rescheduled ship date today nothing shipped could get supervisor speak phone looks like i ll switching armor
worst customer service ever,Rated 1 out of 5 stars,worst customer service ever ordered goods th december plenty time christmas hadn t received th contacted ruben live chat advised goods damaged transit returned nike one obviously thought let know ruben reordered advised i d get within days didn t arrive contacted advised ruben didn t tell truth fact could take days it s th still don t goods one nike contacted ruined child s christmas
well i m giving star love nike,Rated 5 out of 5 stars,well i m giving star love nike products shoes hat socks hoodies love customer services lovely everything els i ve entering raffles snkrs unfortunately past years never one item seems really upsetting nike something like
refund system fit purpose,Rated 1 out of 5 stars,returned poorly fitting top refund despite proof nike received working days ago yodel app via nike return system deny receipt insist receipt cant refund even weeks away waste time phoning recommend seek refund via credit card provider
premium brand like nike use,Rated 1 out of 5 stars,premium brand like nike use worst courier service uk shocking ruining christmases place evri joke used reputable business totally unreliable premium rate number want call find parcel
ike become lazy complacent,Rated 1 out of 5 stars,ike become lazy complacent website apps disgraceful state repair can t even manage real time stock billion dollar company people they also fuel black market limited runs nike products especially jordan reproductions market flooded scammers fake items nike encourages anti human business policies longer famous brand money vacuum avoid
returns joke refund even tracked,Rated 1 out of 5 stars,really bad experience sent back products tracking says arrived th december even though items tracked refunds shipment far waiting worth refunded i m baffled process one box returns refund partially
bought quid nikes th time,Rated 1 out of 5 stars,bought quid nikes th time wearing stitching coming undone dont buy nike
give starts minus,Rated 1 out of 5 stars,give starts minus option purchased one pair shoes firstly rejected saying delivery address didn t match kyc ok thats fine ta last days struggling refund one listening please never buy anything nike
ike doesn t honor exchange policy,Rated 1 out of 5 stars,don t honor return exchange policy shipped back item calling told would exchanged smaller size received item instead refunded money told rebuy item much expensive sale ended several calls chats unhelpful rude customer service reps i m giving up nike wasted time money send replacement would made money get avoid ordering site moving forward great job nike
wow nike you ve outdone yet,Rated 1 out of 5 stars,wow wow ordered tracksuit son xmas impressed arriving quick bitterly disappointed actually received mens tshirt hard pack items clearly someone wasn t taking notice order packed go way send back drop points close wait god knows long refund oh son won t wanted xmas present thanks nike i m going pocket one unhappy so
would minus,Rated 1 out of 5 stars,ordered pairs trainers clothes kids order arrived within days half order delivered used web chat told can t re ship items can t issue refund investigated business days told could collect store nearest one miles away would pay items it s doubt hear anything christmas now  kids won t christmas gifts i m thanks nike happy christmas
ike lost customer,Rated 1 out of 5 stars,website hard navigate year old man aware todays technology think easy use couldn t find basket
stars,Rated 1 out of 5 stars,stars ordered gift card week ago order status stuck preparing way get time christmas one disappointed grandchild christmas day nike won t cancel order tell long wait won t
ike stole shirt,Rated 1 out of 5 stars,ike stole shirt ironed per instructions label shirt got burn marks customers service told return would reach within days it s month haven t heard back don t respond emails either
bad cutomer service,Rated 1 out of 5 stars,loyal member nike several years say disappointed customer service provided ordered pair trainers online delivery provider failed deliver parcel number occasions side delivery company poor service shocking nike uk would take complaints seriously even trying get issue resolved asked refund purchase refused ridiculously suggested first get delivery first get refund far don t product refund go bank dispute order behalf
c,Rated 1 out of 5 stars,c           you let customers know place holiday order holiday season handle order partially received today child s order still indiana won t get christmas literally ruined gift aspect christmas there s nothing you ve completely lost customer another shoe company better reviews i d give negative stars could teach read reviews placing order reviews horrible absolutely reflect service
totally wasted time,Rated 1 out of 5 stars,totally wasted time experiences phony lie website focus group crashed would pay promised compensation total horrible experience
hour delivery day,Rated 1 out of 5 stars,hour delivery cost arrive friday th december easily time xmas wrong updates dpd parcel stayed stoke depot days nike on line assistant told collect argos pick th december nothing st december lied said spoken dpd number know give access speak human make frustrating wife order pair nike s son footlocker cheap delivery days days arrived today via dpd couldn t make
go bank ask charge back,Rated 1 out of 5 stars,effectively nike use call centre process complaints returns given script probably nothing nike purchased pair trainers fell apart first use contacted via chat told could return faulty sent prepaid royal mail return label sent waited days checked tracking said delivered contacted said sent empty box complete lie weight receipt sent didn t respond contacted said there s nothing won t send refund effectively trainers sent refused refund called lier contacted bank said it s something issuing charge back transaction recommend want money back hope helps also it s pretty easy report trading standard
cool,Rated 4 out of 5 stars,cool helpful service love trainers
poor jona,Rated 1 out of 5 stars,poor jona takes months email back didn t help complaint put context shoes cost quite bit detached mid run couple weeks thought it ll easy exchange return please contact asap
scam,Rated 1 out of 5 stars,order received product looks horrible say it s replica made return request far nothing happened poor service
could customer service,Rated 1 out of 5 stars,could customer service would bought shoes husband christmas got email order coming sent back warehouse ordered second pair would come christmas well get first order can t cancel second minutes order placed try call get nike pay return would never bought two rep said sorry didn t membership could take store don t time joke
order way,Rated 1 out of 5 stars,order way days later dpd received order nike customer service give bluff expected delivery date keeps changing never stick adidas direct
hi name kayla,Rated 1 out of 5 stars,hi name kayla nike com ripped people money like don t care lied like gone call never took money said refund anything manager rude nasty customer help told wait business go refund money money told wait still nunthing done xl men nike sportswear dec  dec nunthing done part anything stuff they re lazy disrespectful
avoid avoid avoid,Rated 1 out of 5 stars,avoid avoid avoid customers made well aware courier service use known would collected store they ve switched dpd evri avoid avoid avoiddo order online evri courier unless obv course like anticipation wether expensive items even going reach you avoid avoid avoidi parcel worth transit i m writting advance know there s extremely high i m never going see parcel currently parcels wroth missing retailers using despicable joke delivery service avoid avoid avoid
ordered many times,Rated 1 out of 5 stars,ordered many times got worse worse delivery takes ages never turns cancel order done going order nike absolutely useless big company it s disgrace
ike court vision mid,Rated 5 out of 5 stars,ordered th received th happy delivery double boxed damaged retro nike court vision boots style thank nike
great shoes,Rated 5 out of 5 stars,great shoesi don t really like buying shoesbut nike shoes super comfortable use like
seem good luck,Rated 5 out of 5 stars,seem good luck snkrs app recently finally fixing bots
fast shipping shoes right,Rated 4 out of 5 stars,fast shipping shoes right size package came shoes place big box shoe boxes packed smaller box put paper something shoes didnt come shoe boxed tossed around ups gifts kinds embarrassing open shoe box brand new pair af see shoe box paper looking fresh neat hence star review extremely fast shipping i m happy font order hibbetts take ever still don t package ordered days nike
ordered pair nike,Rated 1 out of 5 stars,ordered pair nike trainers quality awful want pair nikes would suggest buy fakes youll get better pair shoes quality control seems non existent genuine factory
awful company,Rated 1 out of 5 stars,company said item ordered stock three times last year why advertise product stockawful company ruined sons birthday christmas
following up previous review,Rated 1 out of 5 stars,following up previous review made ordered goods october th nike ca received somebody else s order accident receive items paid immediately initiated return process shipped back erroneous goods full month advance file every time contact nike ca support get new story going horrible experience held money hostage calendar days totally unacceptable contesting charge directly credit card provider bank buy anything online nike ca simple refund turned nightmare
terrible website app experience,Rated 1 out of 5 stars,terrible website app experience unhelpful customer service tried multiple times place order nike keep getting error code followed instructions given customer service agent obviously fields calls day knows full well she s advising won t work didn t phoned back told fault using website download app didn t really want app downloaded could order specific football shirt present app doesn t work either get another error code nike clearly don t care customer satisfaction numerous reviews people saying thing yet nothing done nike improve situation rather apologise inconvenience customer services scold audacity try spend hard earned money
worst company world deal,Rated 1 out of 5 stars,worst company world deal regarding complaints uk tryed hours get hold someone eventually returned trainers shop managed get refund totally rip company
bought air max tw size,Rated 1 out of 5 stars,bought air max tw size arrived days smelling like cat urine sent back exchange nike received return status shoes stuck preparing shipment called nike athlete associate told update order would escalate order worst fears came fruition seeing reviews similar problems ridiculous part nike usually waits item stock refund money shoes wanted abundance stock still couldn t get requested refund im waiting email refund like i ve waiting email shipment shoes joke
could give zero score would,Rated 1 out of 5 stars,could give zero score would placed order first week december took payment days later received email say delivery would delayed went live chat today chase told currently stock trainers won t arrive time christmas told pair london store would go person able arrange delivery tried escalate complaint told respond complaints use feedback improve service disappointed total let christmas known stock issues would bought elsewhere it s late
great products,Rated 4 out of 5 stars,great products terrible website going buy pair nike s favor find retailer official website complete trash shoes great
incredibly satisfied,Rated 5 out of 5 stars,bought checked trustpilot despite negative reviews ordered shoes arrived days incredibly satisfied
ike products,Rated 1 out of 5 stars,ike products worst service planet far nike employee stole gift card issued retur
snkrs app bot users,Rated 1 out of 5 stars,snkrs app bot users would suggest getting botting able secure pairs dropping dont believe conversation nike chat call realise favour bots
good quality,Rated 5 out of 5 stars,day ago went jd croydon buy shoes found nice quality shoes thanks joe helped find nice quality shoes
awful company avoid costs,Rated 1 out of 5 stars,ordered pair trainers end november sent two emails saying system error owe moneywhen calling say refunded completely ignoring fact sent two emails requesting pay spoken three different people one said need contact bank even though issue fault another said don t owe money ignore screenshots contacting trading standards another said sorry emails ignore also even listen sayingwhat point live chat customer services don t even listen customer appalling companyupdate still waiting refund two weeks later
went wrong didn t go wrong,Rated 1 out of 5 stars,went wrong let s try figure hasn t gone wrong expected lot company recent order days late c investigation opened yet i m still waiting outcome it s two days upon realising parcel late spoke different people try sort needed time birthday yet nothing done i m still situation told wait rather given actual solutions understand world hard moment deliveries take longer christmas orders weeks ago marked transit two days ordering obvious issue early nothing done
really like nike sport outfits,Rated 3 out of 5 stars,really like nike sport outfits custom servise imo much convenient buy nike retail stores
received wrong size shoe nike,Rated 1 out of 5 stars,received wrong size shoe nike website order returned store refunded money gift card placed another order correct size shoe nike cancelled order due shoe available notify cancelled order found called see status order asked refund told go back store would refund money back gift card went store instructed store told cannot told call customer service back call customer service store runaround started nike customer service said could immediate refund said order going review panel would take least business days nike quick charge credit card purchase time refund order cancelled good luck customer service terrible employees trained deal customers horrible experience still waiting refund
reading reviews,Rated 1 out of 5 stars,reading reviews feel little bit better bitter nike placed order pair shoes boyfriend birthday confirmed order started preparing shipment went way days previously expected delivery date would contacted customer service several times chat answered generic answer every time still said order would arrive morning got email saying shipment delayed guess won t getting birthday he ll lucky get next birthday point around nike terrible company deal ordering
air max bought leisure,Rated 4 out of 5 stars,air max bought leisure time got hole outsole less months however happy kyrie irving basketball shoes basketball shorts light
best sportswear,Rated 5 out of 5 stars,best sportswear compared commercial brand honestly one best quality products pricing might bit
disgraceful customer services,Rated 1 out of 5 stars,disgraceful customer services they ve owed refund weeks every time speak say they re sorting today nothing never buy
contacted chat,Rated 5 out of 5 stars,contacted chat quick change shoes directly happy
great products,Rated 5 out of 5 stars,N/A
